week,opponent,home/away,result,G/A
1,Athletic Club,Away,W,1
2,Almeria,Away,W,3
3,Celta Vigo,Away,W,1
4,Getafe,Home,W,1
5,Real Sociedad,Home,W,0
6,Atletico Madrid,Away,L,0
8,Girona,Away,W,2
9,Osasuna,Home,W,2
10,Sevilla,Away,D,0
11,Barcelona,Away,W,2
12,Rayo Vallecano,Home,D,0
13,Valencia,Home,W,0
14,Cadiz,Away,W,1
15,Granada,Home,W,0
16,Real Betis,Away,D,1
17,Villarreal,Home,W,1
18,Deportivo Alaves,Away,W,0
19,Mallorca,Home,W,0
20,Almeria,Home,W,2
21,Getafe,Away,W,0
22,Atletico Madrid,Home,D,0
23,Girona,Home,W,2
24,Valencia,Away,D,0
25,Atletic Club,Home,W,1
26,Mallorca,Away,W,0
27,Barcelona,Home,W,1
29,Cadiz,Home,W,2
31,Deportivo Alaves,Home,W,3
