Team POSITION,TEAM,POINTS,PLAYED,WIN,DRAW,LOOSE,Win Ratio (%),GOAL SCORED,GOAL ACCUMULATE,GOAL DIFFERENCE,GOALS SCORED PER MATCH,GOALS CONCEEDED PER MATCH
1,REAL MADRID,78,31,24,6,1,77.41935483870968,67,20,47,2.161290322580645,0.6451612903225806
2,FC BARCELONA,70,31,21,7,3,67.74193548387096,62,34,28,2.0,1.096774193548387
3,GIRONA FC,65,31,20,5,6,64.51612903225806,63,39,24,2.032258064516129,1.2580645161290323
4,ATLÉTICO DE MADRID,61,31,19,4,8,61.29032258064516,59,36,23,1.903225806451613,1.1612903225806452
5,ATHLETIC CLUB,57,31,16,9,6,51.61290322580645,51,29,22,1.6451612903225807,0.9354838709677419
6,REAL SOCIEDAD,50,31,13,11,7,41.935483870967744,45,33,12,1.4516129032258065,1.064516129032258
7,REAL BETIS,45,31,11,12,8,35.483870967741936,38,37,1,1.2258064516129032,1.1935483870967742
8,VALENCIA CF,44,30,12,8,10,40.0,33,32,1,1.1,1.0666666666666667
9,VILLARREAL CF,39,31,10,9,12,32.25806451612903,49,54,-5,1.5806451612903225,1.7419354838709677
10,GETAFE CF,39,31,9,12,10,29.03225806451613,37,43,-6,1.1935483870967742,1.3870967741935485
11,CA OSASUNA,39,30,11,6,13,36.666666666666664,36,43,-7,1.2,1.4333333333333333
12,UD LAS PALMAS,37,31,10,7,14,32.25806451612903,29,35,-6,0.9354838709677419,1.1290322580645162
13,SEVILLA FC,34,31,8,10,13,25.806451612903224,39,44,-5,1.2580645161290323,1.4193548387096775
14,DEPORTIVO ALAVÉS,32,31,8,8,15,25.806451612903224,26,38,-12,0.8387096774193549,1.2258064516129032
15,RCD MALLORCA,31,31,6,13,12,19.35483870967742,25,36,-11,0.8064516129032258,1.1612903225806452
16,RAYO VALLECANO,31,31,6,13,12,19.35483870967742,25,38,-13,0.8064516129032258,1.2258064516129032
17,RC CELTA,28,31,6,10,15,19.35483870967742,33,46,-13,1.064516129032258,1.4838709677419355
18,CÁDIZ CF,25,31,4,13,14,12.903225806451612,21,41,-20,0.6774193548387096,1.3225806451612903
19,GRANADA CF,17,31,3,8,20,9.67741935483871,32,60,-28,1.032258064516129,1.935483870967742
20,UD ALMERÍA,14,31,1,11,19,3.225806451612903,30,62,-32,0.967741935483871,2.0
