Week,Opponent,Home/Away,Result
1,Athletic Club,Away,W
2,Almeria,Away,W
3,Celta Vigo,Away,W
4,Getafe,Home,W
5,Real Sociedad,Home,W
6,Atletico Madrid,Away,L
8,Girona,Away,W
9,Osasuna,Home,W
10,Sevilla,Away,D
11,Barcelona,Away,W
12,Rayo Vallecano,Home,D
13,Valencia,Home,W
14,Cadiz,Away,W
15,Granada,Home,W
16,Real Betis,Away,D
17,Villarreal,Home,W
18,Deportivo Alaves,Away,W
19,Mallorca,Home,W
20,Almeria,Home,W
21,Getafe,Away,W
22,Atletico Madrid,Home,D
23,Girona,Home,W
24,Valencia,Away,D
25,Atletic Club,Home,W
26,Mallorca,Away,W
27,Barcelona,Home,W
29,Cadiz,Home,W
31,Deportivo Alaves,Home,W
